id,Judul Berita,Isi Berita,Kategori Berita
238,"Realisasi Anggaran Sekolah Rakyat Capai Rp788,7 Miliar",,Pendidikan
239,"Musim Hujan 2025: Prediksi BMKG, Wilayah Rawan Banjir, dan Tips Antisipasi",,Pendidikan
240,SNPMB 2026: Jadwal dan Syarat Terbaru Masuk PTN,,Pendidikan
241,Dosen Unair Temukan Senyawa Berpotensi Antikanker dari Daun 'Apa-Apa',,Pendidikan
242,Respirasi Aerob: Pengertian dan Tahapan Prosesnya Secara Lengkap,,Pendidikan
243,Jangan Lewatkan Pelatihan Menyeluruh Jadi Instruktur Bersertifikasi BNSP RI!,,Pendidikan
244,"Video: Ada Kotak Tua di Depan Pos Bloc Jakarta, Kira-kira Kotak Apa ya?",,Pendidikan
245,Video: Kemendiktisaintek Pastikan Setiap Politeknik Baru Bakal Diuji Akreditasinya,,Pendidikan
246,"Mahasiswa UGM Teliti Komunitas Marah-Marah di X, Solusi Stres atau Ancaman Sosial?",,Pendidikan
247,"Perjalanan ke Ruang Angkasa Bikin Cepat Tua, Studi Bilang Begini",,Pendidikan
248,"Daftar Negara yang Mengakui Palestina, Terbaru Inggris",,Pendidikan
249,Apa Itu Awan Cumulonimbus yang Muncul di Langit Garut? Ini Penjelasannya,,Pendidikan
250,"Mahasiswa RI Raih Juara, Merah Putih Terbentang di Ajang Teknofest 2025 Turki",,Pendidikan
251,Saatnya Tingkatkan Karier Sebagai Trainer Profesional Bersama Master Coach Berpengalaman!,,Pendidikan
252,"Ratusan Siswa Keracunan MBG di Bandung Barat, Benarkah Makanan Tak Layak Konsumsi?",,Pendidikan
253,"Besaran KIP Kuliah Dipangkas Separuh, DPR: Mahasiswa Terancam, PTS Makin Terbebani",,Pendidikan
254,330 Ribu Sekolah Akan Dibekali Layar Digital Pintar Tahun Ini,,Pendidikan
255,Wamen Stella: Sekolah Garuda Berikan Akses dari Kalangan Manapun,,Pendidikan
256,"Anggaran 8 Agenda Prioritas di APBN 2026, Termasuk untuk MBG dan Kesejahteraan Guru",,Pendidikan
257,Universitas Muhammadiyah Malang Jadi Tuan Rumah Olimpiade Sains Nasional,,Pendidikan
258,"Resmi! MBG Dapat Rp 335 T dari APBN 2026, Ambil Jatah Anggaran Pendidikan Rp 223 T",,Pendidikan
